PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.905e-08,18,3.89525e-08,9.75e-11,0.00250305,2.56082e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.003e-08,19,3.89525e-08,1.0775e-09,0.0276619,2.49813e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,2.258e-08,20,3.89525e-08,1.63725e-08,0.42032,4.4287e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.863e-08,21,3.89525e-08,3.225e-10,0.00827931,2.58866e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,2.265e-08,22,3.89525e-08,1.63025e-08,0.418523,4.41501e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,2.258e-08,23,3.89525e-08,1.63725e-08,0.42032,4.4287e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.863e-08,24,3.89525e-08,3.225e-10,0.00827931,2.58866e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.882e-08,25,3.89525e-08,1.325e-10,0.00340158,2.57599e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.137e-08,26,3.89525e-08,2.4175e-09,0.0620628,2.41721e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.23e-08,27,3.89525e-08,3.3475e-09,0.085938,2.36407e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.173e-08,28,3.89525e-08,2.7775e-09,0.0713048,2.39636e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.125e-08,29,3.89525e-08,2.2975e-09,0.0589821,2.42424e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.133e-08,30,3.89525e-08,2.3775e-09,0.0610359,2.41955e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.9e-08,31,3.89525e-08,4.75e-11,0.00121943,2.5641e+07
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.14e-09,0,4.1225e-09,1.75e-11,0.004245,2.41546e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.05e-09,1,4.1225e-09,7.25e-11,0.0175864,2.46914e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,2,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.05e-09,3,4.1225e-09,7.25e-11,0.0175864,2.46914e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,4,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.05e-09,5,4.1225e-09,7.25e-11,0.0175864,2.46914e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,6,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,7,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,8,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,9,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.05e-09,10,4.1225e-09,7.25e-11,0.0175864,2.46914e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,11,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.05e-09,12,4.1225e-09,7.25e-11,0.0175864,2.46914e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,13,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.05e-09,14,4.1225e-09,7.25e-11,0.0175864,2.46914e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.06e-09,15,4.1225e-09,6.25e-11,0.0151607,2.46305e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.05e-09,16,4.1225e-09,7.25e-11,0.0175864,2.46914e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.49e-09,17,4.1225e-09,3.675e-10,0.0891449,2.22717e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.29e-09,18,4.1225e-09,1.675e-10,0.0406307,2.331e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.3e-09,19,4.1225e-09,1.775e-10,0.0430564,2.32558e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.16e-09,20,4.1225e-09,3.75e-11,0.00909642,2.40385e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.22e-09,21,4.1225e-09,9.75e-11,0.0236507,2.36967e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.13e-09,22,4.1225e-09,7.5e-12,0.00181928,2.42131e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.11e-09,23,4.1225e-09,1.25e-11,0.00303214,2.43309e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.12e-09,24,4.1225e-09,2.5e-12,0.000606428,2.42718e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.13e-09,25,4.1225e-09,7.5e-12,0.00181928,2.42131e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.17e-09,26,4.1225e-09,4.75e-11,0.0115221,2.39808e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.19e-09,27,4.1225e-09,6.75e-11,0.0163736,2.38663e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.16e-09,28,4.1225e-09,3.75e-11,0.00909642,2.40385e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.18e-09,29,4.1225e-09,5.75e-11,0.0139478,2.39234e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.14e-09,30,4.1225e-09,1.75e-11,0.004245,2.41546e+08
AMD Ryzen 3600,sqrt_f32,f32,O3,17,high_resolution_clock,4.1e-09,31,4.1225e-09,2.25e-11,0.00545785,2.43902e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,0,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,1,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,2,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,3,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,4,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,5,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,6,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,7,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,8,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,9,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,10,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
